sentence,disease
Troubled by sweating and breathlessness lately.,Heart attack
I'm experiencing symptoms like dizziness and loss of balance.,Cervical spondylosis
"These days I feel phlegm, chills and high fever.",Pneumonia
"I have been suffering from nausea, slurred speech and drying and tingling lips.",Hypoglycemia
"I have been suffering from dizziness, loss of balance, chest pain and lack of concentration.",Hypertension 
"I think I’m having abnormal menstruation, sweating and fast heart rate.",Hyperthyroidism
"Troubled by burning micturition, stomach pain, skin rash and itching lately.",Drug Reaction
"My body is showing signs of nausea, vomiting, fatigue, headache and toxic look (typhos).",Typhoid
"I have been suffering from yellowish skin, nausea and family history.",Hepatitis C
"I think I’m having abdominal pain, yellowing of eyes and itching.",Chronic cholestasis
"My body is showing signs of family history, yellowing of eyes, nausea, fatigue and yellowish skin.",Hepatitis C
"Recently, I noticed painful walking, neck pain, swelling joints and knee pain.",Osteoarthristis
"I’ve had mood swings, enlarged thyroid and cold hands and feets for a few days.",Hypothyroidism
Troubled by blood in sputum and mild fever lately.,Tuberculosis
I'm experiencing symptoms like movement stiffness and muscle weakness.,Arthritis
"I’ve had yellowish skin, nausea, loss of appetite and yellowing of eyes for a few days.",Chronic cholestasis
I have been suffering from chest pain and breathlessness.,Heart attack
"Troubled by dark urine, fatigue, yellowish skin, joint pain and vomiting lately.",Hepatitis E
"I think I’m having neck pain, dizziness and loss of balance.",Cervical spondylosis
"I'm experiencing symptoms like distention of abdomen, vomiting, abdominal pain and swelling of stomach.",Alcoholic hepatitis
"I think I’m having receiving unsterile injections, receiving blood transfusion, lethargy and dark urine.",Hepatitis B
"I feel discomfort due to belly pain, high fever and headache.",Typhoid
"Recently, I noticed pain in anal region, irritation in anus, bloody stool, constipation and pain during bowel movements.",Dimorphic hemmorhoids(piles)
I think I’m having vomiting and itching.,Jaundice
"Recently, I noticed vomiting and phlegm.",Tuberculosis
"I feel discomfort due to muscle pain, mild fever, joint pain, dark urine and diarrhoea.",hepatitis A
"My body is showing signs of blackheads, skin rash and scurring.",Acne
I have been suffering from altered sensorium and vomiting.,Paralysis (brain hemorrhage)
"Symptoms such as ulcers on tongue, cough and chest pain are bothering me.",GERD
"I’ve had high fever, fatigue, itching and yellowish skin for a few days.",Jaundice
These days I feel obesity and weight loss.,Diabetes 
Troubled by indigestion and blurred and distorted vision lately.,Migraine
"I'm experiencing symptoms like red sore around nose, yellow crust ooze, blister, high fever and skin rash.",Impetigo
"I feel discomfort due to loss of balance, headache and chest pain.",Hypertension 
"I think I’m having painful walking, neck pain, hip joint pain and swelling joints.",Osteoarthristis
"I think I’m having nausea, abdominal pain, joint pain, loss of appetite and fatigue.",Hepatitis D
"I have been suffering from extra marital contacts, high fever, patches in throat and muscle wasting.",AIDS
"My body is showing signs of movement stiffness, muscle weakness, painful walking and swelling joints.",Arthritis
I think I’m having swelling joints and stiff neck.,Arthritis
"I'm experiencing symptoms like vomiting, loss of appetite, yellowing of eyes, yellowish skin and itching.",Chronic cholestasis
"Symptoms such as burning micturition, continuous feel of urine and foul smell of urine are bothering me.",Urinary tract infection
Symptoms such as weakness of one body side and altered sensorium are bothering me.,Paralysis (brain hemorrhage)
"I have been suffering from fatigue, bruising, cramps, swollen blood vessels and prominent veins on calf.",Varicose veins
"Recently, I noticed sweating, high fever, muscle pain, nausea and headache.",Malaria
"I have been suffering from stiff neck, movement stiffness, muscle weakness and painful walking.",Arthritis
I feel discomfort due to muscle pain and joint pain.,hepatitis A
"These days I feel swelling joints, stiff neck, muscle weakness and painful walking.",Arthritis
"These days I feel itching, abdominal pain, vomiting and yellowish skin.",Chronic cholestasis
"Recently, I noticed abdominal pain, history of alcohol consumption, yellowish skin and swelling of stomach.",Alcoholic hepatitis
Troubled by nausea and skin rash lately.,Dengue
"I’ve had shivering, continuous sneezing, watering from eyes and chills for a few days.",Allergy
I have been suffering from vomiting and weakness of one body side.,Paralysis (brain hemorrhage)
"These days I feel weakness of one body side, altered sensorium and headache.",Paralysis (brain hemorrhage)
"I feel discomfort due to nausea, vomiting and yellowing of eyes.",Chronic cholestasis
"These days I feel neck pain, weakness in limbs and back pain.",Cervical spondylosis
"Symptoms such as vomiting, yellowing of eyes, high fever and breathlessness are bothering me.",Tuberculosis
"Symptoms such as vomiting, loss of balance, spinning movements, unsteadiness and nausea are bothering me.",(vertigo) Paroymsal  Positional Vertigo
I feel discomfort due to swelling joints and stiff neck.,Arthritis
"I feel discomfort due to high fever, yellow crust ooze, skin rash, blister and red sore around nose.",Impetigo
"Symptoms such as vomiting, joint pain, yellowish skin, loss of appetite and nausea are bothering me.",hepatitis A
"Symptoms such as cough, breathlessness, fatigue, family history and mucoid sputum are bothering me.",Bronchial Asthma
I feel discomfort due to abnormal menstruation and dizziness.,Hypothyroidism
"These days I feel fatigue, nausea, headache, red spots over body and chills.",Dengue
"I have been suffering from fluid overload, abdominal pain, yellowish skin, vomiting and history of alcohol consumption.",Alcoholic hepatitis
"I’ve had burning micturition, bladder discomfort and continuous feel of urine for a few days.",Urinary tract infection
"I feel discomfort due to hip joint pain, joint pain, neck pain and swelling joints.",Osteoarthristis
Troubled by fluid overload and vomiting lately.,Alcoholic hepatitis
"My body is showing signs of skin rash, malaise, headache, red spots over body and fatigue.",Chicken pox
I have been suffering from cough and acidity.,GERD
"I'm experiencing symptoms like diarrhoea, high fever, headache and chills.",Malaria
"I think I’m having stiff neck, movement stiffness, swelling joints and muscle weakness.",Arthritis
"I'm experiencing symptoms like itching, yellowing of eyes, dark urine and abdominal pain.",Hepatitis B
"I feel discomfort due to skin peeling, small dents in nails and skin rash.",Psoriasis
Troubled by foul smell of urine and burning micturition lately.,Urinary tract infection
"I'm experiencing symptoms like cough, breathlessness, mucoid sputum and fatigue.",Bronchial Asthma
"I’ve had nausea, fatigue and loss of appetite for a few days.",Hepatitis C
"Recently, I noticed chills, shivering and watering from eyes.",Allergy
"Recently, I noticed muscle pain and joint pain.",hepatitis A
"I'm experiencing symptoms like muscle weakness, fatigue, diarrhoea and sweating.",Hyperthyroidism
"My body is showing signs of abdominal pain, nausea, fatigue and toxic look (typhos).",Typhoid
"I feel discomfort due to vomiting, anxiety, headache, excessive hunger and irritability.",Hypoglycemia
"Symptoms such as vomiting, abdominal pain and yellowing of eyes are bothering me.",Chronic cholestasis
I have been suffering from loss of appetite and vomiting.,Hepatitis D
"Recently, I noticed family history, cough, high fever and breathlessness.",Bronchial Asthma
"Symptoms such as swelling joints, knee pain, neck pain and painful walking are bothering me.",Osteoarthristis
"Symptoms such as weight gain, depression, lethargy, dizziness and fatigue are bothering me.",Hypothyroidism
"Troubled by distention of abdomen, history of alcohol consumption, yellowish skin and abdominal pain lately.",Alcoholic hepatitis
"I’ve had dizziness, back pain and weakness in limbs for a few days.",Cervical spondylosis
"Recently, I noticed loss of appetite, pain behind the eyes and malaise.",Dengue
"I’ve had yellowish skin, fatigue and abdominal pain for a few days.",Hepatitis E
"Troubled by abdominal pain, distention of abdomen, vomiting and swelling of stomach lately.",Alcoholic hepatitis
I’ve had high fever and itching for a few days.,Jaundice
"I have been suffering from altered sensorium, vomiting and headache.",Paralysis (brain hemorrhage)
"Recently, I noticed fatigue and cramps.",Varicose veins
I'm experiencing symptoms like fast heart rate and chills.,Pneumonia
I think I’m having dark urine and itching.,Hepatitis B
These days I feel abnormal menstruation and puffy face and eyes.,Hypothyroidism
"Troubled by vomiting, weakness of one body side and headache lately.",Paralysis (brain hemorrhage)
"I'm experiencing symptoms like skin rash, skin peeling, silver like dusting and small dents in nails.",Psoriasis
"Recently, I noticed continuous feel of urine, bladder discomfort and foul smell of urine.",Urinary tract infection
"I have been suffering from swelling joints, movement stiffness, muscle weakness and stiff neck.",Arthritis
"Troubled by yellow urine, yellowish skin, dark urine, yellowing of eyes and fatigue lately.",Hepatitis B
"I'm experiencing symptoms like abdominal pain, passage of gases, loss of appetite and internal itching.",Peptic ulcer diseae
"I'm experiencing symptoms like mild fever, nausea and joint pain.",hepatitis A
"These days I feel joint pain, nausea and coma.",Hepatitis E
"Symptoms such as yellowish skin, loss of appetite, yellowing of eyes, family history and fatigue are bothering me.",Hepatitis C
Symptoms such as loss of balance and unsteadiness are bothering me.,(vertigo) Paroymsal  Positional Vertigo
"I'm experiencing symptoms like foul smell of urine, continuous feel of urine and bladder discomfort.",Urinary tract infection
"I'm experiencing symptoms like vomiting, diarrhoea, muscle pain, sweating and chills.",Malaria
"I feel discomfort due to itching, yellowish skin and weight loss.",Jaundice
"Symptoms such as weight loss, blurred and distorted vision and obesity are bothering me.",Diabetes 
"I’ve had chest pain, chills and loss of smell for a few days.",Common Cold
"I'm experiencing symptoms like obesity, swollen legs, bruising, swollen blood vessels and cramps.",Varicose veins
I’ve had irritation in anus and pain in anal region for a few days.,Dimorphic hemmorhoids(piles)
"I think I’m having irritability, fatigue, abnormal menstruation, restlessness and weight loss.",Hyperthyroidism
